name,pos,school,games,mpg,pts,reb,fgpercent,thr_percent,ftpercent,nba_ppg,nba_fgp
DeMarre Carroll,SF,VANDY,134,NA,11.2,6,0.535,0.281,0.603,8.9,0.4
Demetrius Jackson,PG,NOTREDAME,103,31.5,12.2,3.1,0.473,0.383,0.782,2,0.75
Denis Valle,SG,FLORIDA,81,66,16.2,1.3,0.56,0.37,0.896,7.36,0.56
Denzel Valentine,SG,MICHIGANST,144,29,11.4,5.9,0.442,0.408,0.779,5.1,0.354
Deron Williams,PG,ILLINOIS,101,31.7,11,3.3,0.422,0.374,0.685,11,0.438
Derrick Favors,PF,GATECH,36,27.5,12.4,8.4,0.611,0,0.629,9.5,0.487
Derrick Jones,SF,UNLV,30,21.5,11.5,4.5,0.589,0.205,0.594,5.3,0.562
Derrick Rose,PG,MEMPHIS,40,29.2,14.9,4.5,0.477,0.337,0.712,18,0.471
Derrick Williams,PF,ARIZONA,69,29.2,17.8,7.7,0.586,0.511,0.719,6.1,0.443
Devin Booker,SG,KENTUCKY,38,21.5,10,2,0.47,0.411,0.828,22.1,0.423
Devin Harris,PG,WISCONSIN,96,35,14.8,4.1,0.447,0.375,0.778,6.7,0.399
Dewayne Dedmon,C,USC,51,22.7,7.1,6.4,0.52,0,0.614,5.1,0.622
Deyonta Davis,C,MICHIGANST,35,18.6,7.5,5.5,0.598,NA,0.605,1.6,0.511
Diamond Stone,C,MARYLAND,35,23.1,12.5,5.4,0.568,NA,0.761,1.4,0.231
Dion Waiters,SG,SYRACUSE,71,20.4,9.7,1.9,0.453,0.348,0.753,15.8,0.424
Domantas Sabonis,PF,GONZAGA,74,26.6,13.5,9.4,0.632,0.357,0.729,5.9,0.399
Dorian Finney-Smith,PF,FLORIDA,64,30.1,14,7.4,0.452,0.39,0.688,4.3,0.372
Doug McDermott,SF,CREIGHTON,145,31.5,21.7,7.5,0.55,0.458,0.831,9,0.447
Draymond Green,PF,MICHIGANST,145,29.6,10.5,7.6,0.467,0.361,0.687,10.2,0.418
Dwight Powell,C,STANFORD,136,26.2,10.8,6.3,0.464,0.289,0.722,6.7,0.515
Dwyane Wade,SG,MARQUETTE,65,30.7,19.7,6.5,0.494,0.333,0.745,18.3,0.434
E'Twaun Moore,SG,PURDUE,140,32.7,15.3,4.4,0.44,0.38,0.729,9.6,0.457
Ed Davis,PF,UNC,61,27.9,9.2,7.7,0.548,NA,0.623,4.3,0.528
Elfrid Payton,PG,ULALA,100,31.6,14.3,5.1,0.485,0.268,0.611,12.8,0.471
Elijah Millsap,SG,ULALA,87,33.1,12.8,7.5,0.422,0.291,0.629,1.5,0.143
Eric Bledsoe,PG,KENTUCKY,37,30.3,11.3,3.1,0.462,0.383,0.667,21.1,0.434
Eric Gordon,SG,INDIANA,32,34.7,20.9,3.3,0.433,0.337,0.834,16.2,0.406
Evan Turner,SF,OHIOST,101,35.7,15,6.8,0.502,0.362,0.758,9,0.426
Frank Kaminsky,C,WISCONSIN,144,20.4,10.1,4.6,0.522,0.369,0.763,11.7,0.399
Fred VanVleet,PG,WICHITAST,66,30.4,12.9,3.9,0.412,0.369,0.805,2.9,0.351
Garrett Temple,SG,LSU,134,NA,6.7,3.7,0.371,0.278,0.783,7.8,0.424
Gary Harris,SG,MICHIGANST,69,31,14.9,3.3,0.44,0.376,0.788,14.9,0.502
